event_id,t_start_full,t_end_full,duration_s,Qmax_obs_m3s,t_Qmax_obs,Vol_obs_m3,Qmax_mod_m3s,t_Qmax_mod,Vol_mod_m3
1,2020-01-23 21:49:00,2020-02-08 06:34:00,1327500.0,0.0829374053000876,2020-01-28 05:49:00,22886.320048955124,0.0,2020-01-23 21:49:00,0.0
2,2020-02-08 06:04:00,2020-02-09 03:49:00,78300.0,0.0355991930774508,2020-02-08 19:49:00,868.6812768204309,0.0,2020-02-08 06:04:00,0.0
3,2020-02-10 03:19:00,2020-02-10 22:34:00,69300.0,0.038536226923134895,2020-02-10 09:49:00,782.8526057754873,0.0,2020-02-10 03:19:00,0.0
4,2020-02-27 16:34:00,2020-02-27 21:34:00,18000.0,0.0355991930774508,2020-02-27 18:19:00,190.4940394286702,0.0,2020-02-27 16:34:00,0.0
5,2020-02-29 09:49:00,2020-02-29 14:34:00,17100.0,0.032213898534214504,2020-02-29 10:49:00,184.99281269473943,0.0,2020-02-29 09:49:00,0.0
6,2020-02-29 15:19:00,2020-02-29 22:34:00,26100.0,0.034653645434505796,2020-02-29 18:04:00,290.3545652279309,0.0,2020-02-29 15:19:00,0.0
7,2020-03-02 06:04:00,2020-03-03 09:34:00,99000.0,0.06469470699570169,2020-03-02 11:04:00,1330.2766662233757,0.0,2020-03-02 06:04:00,0.0
8,2020-03-03 09:19:00,2020-03-13 08:54:00,862500.0,0.07423496614071369,2020-03-05 15:34:00,11353.429164781068,0.0,2020-03-03 09:19:00,0.0
9,2020-04-27 23:49:00,2020-04-28 07:29:00,27600.0,0.051617257112932996,2020-04-28 02:04:00,723.1264510502126,0.0,2020-04-27 23:49:00,0.0
10,2020-05-10 12:44:00,2020-05-20 16:24:00,877200.0,0.213062968405738,2020-05-13 15:54:00,26040.37753535819,0.0,2020-05-10 12:44:00,0.0
11,2020-06-11 21:09:00,2020-06-22 04:04:00,888900.0,2.5671999999999997,2020-06-12 03:04:14,173446.21842756492,0.0,2020-06-11 21:09:00,0.0
12,2020-09-19 05:54:00,2020-09-21 10:39:00,189900.0,1.145825,2020-09-19 09:34:00,16226.761304987771,0.0,2020-09-19 05:54:00,0.0
13,2020-09-21 09:54:00,2020-09-27 02:04:00,490200.0,0.134909427881825,2020-09-22 14:59:00,10549.859496400059,0.5500290127256636,2020-09-21 15:54:33,165.0087038176991
14,2020-10-02 05:29:39,2020-10-12 17:19:00,906561.0,0.118778066939613,2020-10-02 09:19:00,27019.329776673898,0.0,2020-10-02 05:29:39,0.0
15,2020-10-20 11:24:26,2020-10-20 16:14:00,17374.0,0.032926842837787705,2020-10-20 12:34:00,255.98498914052067,0.0,2020-10-20 11:24:26,0.0
16,2020-10-21 00:54:00,2020-11-01 19:14:00,1016400.0,0.674415842048644,2020-10-23 01:29:00,67681.94211741764,0.0,2020-10-21 00:54:00,0.0
17,2020-11-07 16:59:00,2020-11-22 14:24:00,1286700.0,0.489901659758919,2020-11-08 03:19:00,49089.53117084365,0.0,2020-11-07 16:59:00,0.0
18,2020-11-25 14:49:00,2020-11-26 17:54:00,97500.0,0.0445643507169326,2020-11-26 08:24:00,1315.5812292866483,0.0,2020-11-25 14:49:00,0.0
19,2020-11-26 18:14:00,2020-11-27 15:24:00,76200.0,0.0424680666419267,2020-11-26 22:29:00,1014.4252880678803,0.0,2020-11-26 18:14:00,0.0
20,2020-12-14 19:19:00,2020-12-30 14:59:00,1366800.0,0.511853250654723,2020-12-20 02:39:00,109395.00467939272,0.0,2020-12-14 19:19:00,0.0
21,2021-01-20 15:19:00,2021-02-17 09:04:00,2396700.0,0.123818497717411,2021-01-20 22:19:00,69304.51193810292,0.1492109975219644,2021-02-06 19:14:52,80.5296550779432
22,2021-02-18 09:04:00,2021-03-03 04:09:00,1105500.0,0.0805340237628437,2021-02-22 23:14:00,23432.62727755934,0.0,2021-02-18 09:04:00,0.0
23,2021-05-10 04:49:00,2021-05-22 20:34:00,1093500.0,1.315975,2021-05-10 17:19:15,123397.76629508511,6.359962984257672,2021-05-10 20:49:35,46438.35827582091
24,2021-06-20 12:34:00,2021-06-20 16:49:00,15300.0,0.032926842837787705,2021-06-20 13:34:00,261.4465265193234,0.0,2021-06-20 12:34:00,0.0
25,2021-06-21 22:04:22,2021-06-22 04:29:00,23078.0,0.0563970908625873,2021-06-21 23:19:00,524.7696050361155,9.017220816259904,2021-06-21 22:04:22,2705.166244877971
26,2021-07-06 12:24:59,2021-07-06 19:14:00,24541.0,0.0636007718870195,2021-07-06 13:59:00,650.17054851187,10.52645163490068,2021-07-06 12:24:59,12508.073366683635
27,2021-09-18 18:29:56,2021-09-18 23:34:00,18244.0,0.060147609374722695,2021-09-18 19:44:00,415.63116585489894,11.146634627722122,2021-09-18 18:29:56,3492.4976656548424
28,2021-10-03 03:09:00,2021-10-13 23:19:00,936600.0,2.913725,2021-10-03 14:09:00,130860.59992423128,16.187504155492192,2021-10-03 05:39:00,102718.79606022089
29,2021-10-20 15:24:00,2021-10-21 14:39:00,83700.0,0.0694521392360093,2021-10-21 02:09:00,1983.387808182651,1.1817699406026505,2021-10-20 18:09:00,811.93161103979
30,2021-10-29 03:44:00,2021-11-12 19:19:00,1265700.0,1.6355250000000001,2021-10-30 05:49:00,211198.5309112586,7.975765940278452,2021-10-29 21:19:00,219385.96406266242
31,2021-12-01 11:29:00,2021-12-02 01:19:00,49800.0,0.0397706325863065,2021-12-01 15:59:00,587.4106178955151,0.0,2021-12-01 11:29:00,0.0
32,2021-12-04 05:04:00,2021-12-05 07:04:00,93600.0,0.0627269407637142,2021-12-04 12:44:00,1629.0994361589633,0.0,2021-12-04 05:04:00,0.0
33,2021-12-07 20:49:00,2021-12-08 09:04:00,44100.0,0.0384637106060913,2021-12-07 23:49:00,531.4682411851581,1.0125450687013722,2021-12-08 00:44:00,303.76352061041166
34,2022-02-14 01:14:00,2022-02-14 17:04:00,57000.0,0.0941872720213607,2022-02-14 08:34:00,1795.4844999606687,2.645879915180653,2022-02-14 08:14:00,41332.40988797729
35,2022-02-20 02:49:00,2022-02-22 23:44:00,248100.0,0.0381413308729399,2022-02-21 09:29:00,3295.9225974467504,0.0,2022-02-20 02:49:00,0.0
36,2022-03-31 23:04:00,2022-04-15 15:44:00,1269600.0,0.0699145646833592,2022-04-06 16:34:00,27600.896493102708,0.0,2022-03-31 23:04:00,0.0
37,2022-04-20 16:24:00,2022-04-21 00:44:00,30000.0,0.0384637106060913,2022-04-20 18:44:00,388.9454915543257,0.0,2022-04-20 16:24:00,0.0
38,2022-04-21 00:54:00,2022-04-21 09:54:00,32400.0,0.0353181709888183,2022-04-21 04:04:00,288.8263406757819,0.0,2022-04-21 00:54:00,0.0
39,2022-04-23 06:04:00,2022-05-01 18:49:00,737100.0,0.130935912151016,2022-04-23 11:34:00,17762.359739728243,1.2949539892925799,2022-04-24 08:44:00,9684.193979936696
40,2022-06-23 09:49:20,2022-06-23 15:19:00,19780.0,0.0653695279240925,2022-06-23 11:09:00,477.09053444380515,10.607916952255566,2022-06-23 10:14:32,11076.625599736679
41,2022-09-13 17:24:00,2022-09-13 21:39:00,15300.0,0.033219682723336495,2022-09-13 18:24:00,262.5165704197683,0.0,2022-09-13 17:24:00,0.0
42,2022-10-20 22:49:00,2022-10-21 07:54:00,32700.0,0.11691737135982,2022-10-21 01:34:00,1330.4173271195523,6.556633595020899,2022-10-21 00:49:43,21880.860287356576
43,2022-11-08 22:34:00,2022-11-09 12:04:00,48600.0,0.06626445710452669,2022-11-09 03:14:29,1198.7106849871254,3.969673303419741,2022-11-09 02:09:00,17499.066296403606
44,2022-11-14 13:14:00,2022-11-15 07:39:00,66300.0,0.0417832540327896,2022-11-14 20:24:00,1183.0239952609234,1.3150698352292212,2022-11-14 19:14:01,8760.87975998201
45,2022-11-15 09:59:00,2022-11-16 11:59:00,93600.0,0.0431598522034408,2022-11-15 23:34:00,1349.091143098261,2.647670088085863,2022-11-15 21:44:00,6097.489830926839
46,2022-11-17 16:59:00,2022-11-18 04:59:00,43200.0,0.0350131769699428,2022-11-17 19:39:00,597.502074928668,1.3053263826488897,2022-11-17 17:14:01,2434.5361965999896
47,2022-11-21 15:14:00,2022-11-22 02:44:00,41400.0,0.0381413308729399,2022-11-21 18:59:00,606.4131556098106,1.3130829407681879,2022-11-21 18:14:00,2726.3601831244096
48,2022-12-08 21:34:00,2022-12-10 03:29:00,107700.0,0.040101715176595804,2022-12-09 00:49:00,1942.9018289406235,1.3152976968618204,2022-12-08 23:19:00,1904.613090381635
49,2022-12-13 02:04:00,2022-12-30 09:49:00,1496700.0,0.250664827395195,2022-12-15 12:44:00,71008.18689483654,2.6523517029750643,2022-12-15 11:54:52,43832.867874419404
